latlng	Column1	river	type	sub_type	province
22.6244444444444, 103.381388888888	Nhà máy thuỷ điện Nậm Lụm 2	Nậm Lụm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.5563888888888, 104.569722222222	Nhà máy thuỷ điện Nậm Ly	Nậm Ly	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.8955555555555, 105.078055555555	Nhà máy thuỷ điện Nậm Mạ	Nậm Mạ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
19.4141666666666, 104.112222222222	Nhà máy thuỷ điện Nậm Mô	Nậm Mô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
21.7727777777777, 103.907777777777	Nhà máy thuỷ điện Nậm Mở 2	Nậm Mở	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
21.7486111111111, 103.874444444444	Nhà máy thuỷ điện Nậm Mở 3	Nậm Mở	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.5497222222222, 104.876666666666	Nhà máy thuỷ điện Nậm Mu	Nậm Mu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
21.7891666666666, 103.324722222222	Nhà máy thuỷ điện Nậm Mu 2	Nậm Mu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
21.7980555555555, 103.293611111111	Nhà máy thuỷ điện Nậm Mức	Nậm Mức	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.5961111111111, 103.26	Nhà máy thuỷ điện Nậm Na 1	Nậm Na	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.4936111111111, 103.231666666666	Nhà máy thuỷ điện Nậm Na 2	Nậm Na	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.2991666666666, 103.161388888888	Nhà máy thuỷ điện Nậm Na 3	Nậm Na	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
22.6122222222222, 104.893055555555	Nhà máy thuỷ điện Nậm Ngần	Nậm Ngần	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.4166666666666, 102.952777777777	Nhà máy thuỷ điện Nậm Nghẹ	Nậm Nghẹ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
19.2961111111111, 104.420833333333	Nhà máy thuỷ điện Nậm Nơn	Nậm Lam	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
21.3016666666666, 102.937777777777	Nhà máy thuỷ điện Nậm Núa	Nậm Nứa	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.5213888888888, 103.469444444444	Nhà máy thuỷ điện Nậm Pạc	Nậm Xe	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
21.3469444444444, 104.013888888888	Nhà máy thuỷ điện Nậm Pàn 5	Nậm Pàn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.79, 103.395277777777	Nhà máy thuỷ điện Nậm Pay	Nậm Pay	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.4155555555555, 104.318333333333	Nhà máy thuỷ điện Nậm Phàng	Nậm Phàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.4452777777777, 104.169166666666	Nhà máy thuỷ điện Nậm Pia	Nậm Pia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
19.5183333333333, 105.037777777777	Nhà máy thuỷ điện Nậm Pông	Nậm Pông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
22.5069444444444, 103.690555555555	Nhà máy thuỷ điện Nậm Pung	Ngòi Phát	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.4425, 102.833611111111	Nhà máy thuỷ điện Nậm Sì Lường 1	Nậm Sì Lường	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lai Châu
,	Nhà máy thuỷ điện Nậm Sì Lường 3		Thuỷ điện		
,	Nhà máy thuỷ điện Nậm Sì Lường 4		Thuỷ điện		
20.9127777777777, 103.735555555555	Nhà máy thuỷ điện Nậm Sọi	Nậm Sọi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
22.2244444444444, 103.946388888888	Nhà máy thuỷ điện Nậm Toóng	Nậm Trung Hồ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.4758333333333, 104.184444444444	Nhà máy thuỷ điện Nậm Xá	Nậm Xá	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.9747222222222, 104.088888888888	Nhà máy thuỷ điện Nậm Xây Luông	Nậm Xây Luông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.9630555555555, 104.056944444444	Nhà máy thuỷ điện Nậm Xây Nọi	Nậm Xây Nọi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.3688888888888, 103.960833333333	Nhà máy thuỷ điện Ngòi Đường 1	Ngòi Đường	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.3936111111111, 103.980833333333	Nhà máy thuỷ điện Ngòi Đường 2	Ngòi Đường	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.8077777777777, 104.434722222222	Nhà máy thuỷ điện Ngòi Hút 1	Ngòi Hút	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
21.7930555555555, 104.337499999999	Nhà máy thuỷ điện Ngòi Hút 2	Ngòi Hút	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
21.7736111111111, 104.396111111111	Nhà máy thuỷ điện Ngòi Hút 2A	Ngòi Hút	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
22.5544444444444, 103.743333333333	Nhà máy thuỷ điện Ngòi Phát	Ngòi Phát	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.4733333333333, 103.872777777777	Nhà máy thuỷ điện Ngòi Xan 1	Ngòi Xan	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.4752777777777, 103.859444444444	Nhà máy thuỷ điện Ngòi Xan 2	Ngòi Xan	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
19.5386111111111, 104.9575	Nhà máy thuỷ điện Nhạn Hạc	Sông Quàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
23.2311111111111, 105.427222222222	Nhà máy thuỷ điện Nho Quế 1	Nho Quế	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
23.1813888888888, 105.477777777777	Nhà máy thuỷ điện Nho Quế 2	Nho Quế	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
23.1433333333333, 105.515555555555	Nhà máy thuỷ điện Nho Quế 3	Nho Quế	Thuỷ điện	Thuỷ điện lớn	Hà Giang
15.08, 108.064166666666	Nhà máy thuỷ điện Nước Biêu	Nước Biêu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.0808333333333, 108.411666666666	Nhà máy thuỷ điện Nước Trong	Tang	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
21.4761111111111, 104.040277777777	Nhà máy thuỷ điện Pá Chiến	Nậm Chiến	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
22.6875, 104.336388888888	Nhà máy thuỷ điện Pa Ke	Sông Chảy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai, Hà Giang
22.2130555555555, 106.130555555555	Nhà máy thuỷ điện Pác Cáp	Na Rì	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bắc Kạn
22.5661111111111, 102.517777777777	Nhà máy thuỷ điện Pắc Ma	Sông Đà	Thuỷ điện	Thuỷ điện lớn	Lai Châu
21.785, 102.951666666666	Nhà máy thuỷ điện Phi Lĩnh	Nậm Chim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.8383333333333, 104.973333333333	Nhà máy thuỷ điện Phong Quang	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	
14.7113888888888, 107.712222222222	Nhà máy thuỷ điện Plei Kần Hạ	Pô Kô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum
14.4083333333333, 107.863055555555	Nhà máy thuỷ điện Plei Krông	Pô Kô	Thuỷ điện	Thuỷ điện lớn	Kon Tum
22.4516666666666, 103.669722222222	Nhà máy thuỷ điện Pờ Hồ	Pờ Hồ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
11.9544444444444, 107.438888888888	Nhà máy thuỷ điện Quảng Tín	Đăk R'lấp	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Nông
16.6894444444444, 106.705	Nhà máy thuỷ điện Quảng Trị	Rào Quán	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Trị
16.4105555555555, 107.228055555555	Nhà máy thuỷ điện Rào Trăng 3	Rào Trăng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
16.3972222222222, 107.298055555555	Nhà máy thuỷ điện Rào Trăng 4	Rào Trăng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
,	Nhà máy thuỷ điện Ry Ninh 2		Thuỷ điện		
21.0316666666666, 104.213888888888	Nhà máy thuỷ điện Sập Việt	Sập	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
14.2152777777777, 107.722222222222	Nhà máy thuỷ điện Sê San 3	Sê San	Thuỷ điện	Thuỷ điện lớn	Gia Lai
14.1063888888888, 107.657777777777	Nhà máy thuỷ điện Sê San 3A	Sê San	Thuỷ điện	Thuỷ điện lớn	Kon Tum, Gia Lai
13.9677777777777, 107.495277777777	Nhà máy thuỷ điện Sê San 4	Sê San	Thuỷ điện	Thuỷ điện lớn	Kon Tum, Gia Lai
13.9308333333333, 107.467777777777	Nhà máy thuỷ điện Sê San 4A	Sê San	Thuỷ điện	Thuỷ điện vừa và nhỏ	Kon Tum, Gia Lai
22.2480555555555, 103.896388888888	Nhà máy thuỷ điện Séo Chong Hô	Séo Trung Hồ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.4963888888888, 103.995	Nhà máy thuỷ điện Sơn La	Sông Đà	Thuỷ điện	Thuỷ điện lớn	Sơn La
,	Nhà máy thuỷ điện Sơn Lư		Thuỷ điện		
15.0113888888888, 108.360833333333	Nhà máy thuỷ điện Sơn Tây	Đăk Đrinh	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
14.8466666666666, 108.424166666666	Nhà máy thuỷ điện Sơn Trà 1A&B	Xà Lò	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
,	Nhà máy thuỷ điện Sông Âm		Thuỷ điện		
13.0225, 108.903888888888	Nhà máy thuỷ điện Sông Ba Hạ	Sông Ba	Thuỷ điện	Thuỷ điện lớn	Phú Yên
22.4511111111111, 104.721388888888	Nhà máy thuỷ điện Sông Bạc	Sông Bạc	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
16.2441666666666, 107.373611111111	Nhà máy thuỷ điện Sông Bồ	Sông Bồ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
15.7, 107.486666666666	Nhà máy thuỷ điện Sông Bung 2	Sông Bung	Thuỷ điện	Thuỷ điện lớn	Quảng Nam
15.7258333333333, 107.651111111111	Nhà máy thuỷ điện Sông Bung 4	Sông Bung	Thuỷ điện	Thuỷ điện lớn	Quảng Nam
15.7647222222222, 107.680277777777	Nhà máy thuỷ điện Sông Bung 4A	Sông Bung	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.8077777777777, 107.747222222222	Nhà máy thuỷ điện Sông Bung 5	Sông Bung	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.8186111111111, 107.778611111111	Nhà máy thuỷ điện Sông Bung 6	Sông Bung	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
22.7394444444444, 104.63	Nhà máy thuỷ điện Sông Chảy 3	Sông Chảy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.7147222222222, 104.535	Nhà máy thuỷ điện Sông Chảy 5	Sông Chảy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.6913888888888, 104.463055555555	Nhà máy thuỷ điện Sông Chảy 6	Sông Chảy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
12.4469444444444, 108.843611111111	Nhà máy thuỷ điện Sông Chò 2	Sông Chò	Thuỷ điện	Thuỷ điện vừa và nhỏ	Khánh Hòa
22.4294444444444, 104.633055555555	Nhà máy thuỷ điện Sông Chừng	Sông Con	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
12.3727777777777, 108.837499999999	Nhà máy thuỷ điện Sông Giang 2	Sông Giang	Thuỷ điện	Thuỷ điện vừa và nhỏ	Khánh Hòa
12.9280555555555, 108.993611111111	Nhà máy thuỷ điện Sông Hinh	Sông Hinh	Thuỷ điện	Thuỷ điện vừa và nhỏ	Phú Yên
15.9330555555555, 107.808055555555	Nhà máy thuỷ điện Sông Kôn 2	Sông Kôn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
22.7249999999999, 104.9725	Nhà máy thuỷ điện Sông Lô 2	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.6611111111111, 104.993611111111	Nhà máy thuỷ điện Sông Lô 3	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.5447222222222, 104.911388888888	Nhà máy thuỷ điện Sông Lô 4	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
,	Nhà máy thuỷ điện Sông Lô 5		Thuỷ điện		
22.2961111111111, 104.917222222222	Nhà máy thuỷ điện Sông Lô 6	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang, Tuyên Quang
22.0647222222222, 105.056388888888	Nhà máy thuỷ điện Sông Lô 8A	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Tuyên Quang
21.9069444444444, 105.174722222222	Nhà máy thuỷ điện Sông Lô 8B	Sông Lô	Thuỷ điện	Thuỷ điện vừa và nhỏ	Tuyên Quang
21.2344444444444, 103.311111111111	Nhà máy thuỷ điện Sông Mã 3	Sông Mã	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
23.1569444444444, 105.017222222222	Nhà máy thuỷ điện Sông Miện 1	Sông Miện	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.9233333333333, 105.006388888888	Nhà máy thuỷ điện Sông Miện 5	Sông Miện	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.8933333333333, 104.992222222222	Nhà máy thuỷ điện Sông Miện 5A	Sông Miện	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.8486111111111, 105.013611111111	Nhà máy thuỷ điện Sông Miện 6	Sông Miện	Thuỷ điện	Thuỷ điện vừa và nhỏ	
23.0413888888888, 105.406111111111	Nhà máy thuỷ điện Sông Nhiệm 3	Sông Nhiệm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
23.0113888888888, 105.474722222222	Nhà máy thuỷ điện Sông Nhiệm 4	Sông Nhiệm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
11.7713888888888, 108.798611111111	Nhà máy thuỷ điện Sông Ông	Sông Ông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Ninh Thuận
11.8338888888888, 108.684722222222	Nhà máy thuỷ điện Sông Pha	Sông Pha	Thuỷ điện	Thuỷ điện vừa và nhỏ	Ninh Thuận
19.5680555555555, 104.768333333333	Nhà máy thuỷ điện Sông Quang	Sông Hiếu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
15.3311111111111, 108.147777777777	Nhà máy thuỷ điện Sông Tranh 2	Thu Bồn	Thuỷ điện	Thuỷ điện lớn	Quảng Nam
15.4444444444444, 108.143055555555	Nhà máy thuỷ điện Sông Tranh 3	Thu Bồn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.5269444444444, 108.146944444444	Nhà máy thuỷ điện Sông Tranh 4	Sông Tranh	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
12.7525, 107.876666666666	Nhà máy thuỷ điện Srêpốk 3	Srêpốk	Thuỷ điện	Thuỷ điện lớn	Đắk Lắk, Đắk Nông
12.8072222222222, 107.854999999999	Nhà máy thuỷ điện Srêpốk 4	Srêpốk	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk, Đắk Nông
12.8933333333333, 107.812222222222	Nhà máy thuỷ điện Srêpốk 4A	Srêpốk	Thuỷ điện	Thuỷ điện vừa và nhỏ	Đắk Lắk
11.7688888888888, 106.756388888888	Nhà máy thuỷ điện Srok Phu Miêng	Sông Bé	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Phước
22.2911111111111, 103.915	Nhà máy thuỷ điện Sử Pán 1	Ngòi Bo	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.2719444444444, 103.9425	Nhà máy thuỷ điện Sử Pán 2	Ngòi Bo	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.4344444444444, 103.821111111111	Nhà máy thuỷ điện Sùng Vui	Ngòi Xan	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.1144444444444, 104.207777777777	Nhà máy thuỷ điện Suối Chăn 1	Suối Chăn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.1383333333333, 104.218333333333	Nhà máy thuỷ điện Suối Chăn 2	Suối Chăn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
21.3708333333333, 104.218888888888	Nhà máy thuỷ điện Suối Lừm 1	Nậm Lừm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.3613888888888, 104.201944444444	Nhà máy thuỷ điện Suối Lừm 3	Nậm Lừm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
21.2236111111111, 104.495555555555	Nhà máy thuỷ điện Suối Sập 3	Sập	Thuỷ điện	Thuỷ điện vừa và nhỏ	
20.9697222222222, 103.633333333333	Nhà máy thuỷ điện Tà Cọ	Nậm Công	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
,	Nhà máy thuỷ điện Tà Lơi 1		Thuỷ điện		
22.4891666666666, 103.665555555555	Nhà máy thuỷ điện Tà Lơi 2	Tà Lơi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.5061111111111, 103.690555555555	Nhà máy thuỷ điện Tà Lơi 3	Tà Lơi	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.2986111111111, 104.022222222222	Nhà máy thuỷ điện Tà Thàng	Ngòi Bo	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
16.3163888888888, 107.6375	Nhà máy thuỷ điện Tả Trạch	Tả Trạch	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
,	Nhà máy thuỷ điện Tam Thanh		Thuỷ điện		
21.7469444444444, 105.023333333333	Nhà máy thuỷ điện Thác Bà	Sông Chảy	Thuỷ điện	Thuỷ điện lớn	Yên Bái
21.7008333333333, 104.635555555555	Nhà máy thuỷ điện Thác Cá 1	Ngòi Thia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
21.7466666666666, 104.644444444444	Nhà máy thuỷ điện Thác Cá 2	Ngòi Thia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
11.8577777777777, 107.019166666666	Nhà máy thuỷ điện Thác Mơ (*)	Sông Bé	Thuỷ điện	Thuỷ điện lớn	Bình Phước
21.4580555555555, 103.078333333333	Nhà máy thuỷ điện Thác Trắng	Nậm Rốm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
22.1713888888888, 106.498611111111	Nhà máy thuỷ điện Thác Xăng	Bắc Giang	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lạng Sơn
15.1191666666666, 108.622222222222	Nhà máy thuỷ điện Thạch Nham	Trà Khúc	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
22.9988888888888, 105.065555555555	Nhà máy thuỷ điện Thái An	Sông Miện	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.7341666666666, 106.547777777777	Nhà máy thuỷ điện Thân Giáp	Bắc Vọng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
20.59, 104.906111111111	Nhà máy thuỷ điện Thành Sơn	Sông Mã	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hoá
22.9608333333333, 105.033333333333	Nhà máy thuỷ điện Thuận Hòa	Sông Miện	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
14.6941666666666, 108.23	Nhà máy thuỷ điện Thượng Kon Tum	Đăk Snghé	Thuỷ điện	Thuỷ điện lớn	Kon Tum
16.1425, 107.748888888888	Nhà máy thuỷ điện Thượng Lộ	Ba Ran	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
22.5705555555555, 106.433333333333	Nhà máy thuỷ điện Tiên Thành	Sông Bằng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
13.9986111111111, 108.826666666666	Nhà máy thuỷ điện Tiên Thuận	Suối Cái	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Định
20.9494444444444, 104.415277777777	Nhà máy thuỷ điện Tô Buông - Đông Khùa	Tô Buông	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
15.0136111111111, 108.527222222222	Nhà máy thuỷ điện Trà Khúc 1	Trà Khúc	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Ngãi
,	Nhà máy thuỷ điện Trà Khúc 2		Thuỷ điện		
15.0280555555555, 108.000555555555	Nhà máy thuỷ điện Trà Linh 2	Nước Nà	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.0472222222222, 108.066666666666	Nhà máy thuỷ điện Trà Linh 3	Nước Nà	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
14.305, 108.688333333333	Nhà máy thuỷ điện Trà Xom	Đăk Trúc	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Định
21.5061111111111, 104.450277777777	Nhà máy thuỷ điện Trạm Tấu	Ngòi Thia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
11.1047222222222, 106.984722222222	Nhà máy thuỷ điện Trị An	Đồng Nai	Thuỷ điện	Thuỷ điện lớn	Đồng Nai
20.1086111111111, 105.186944444444	Nhà máy thuỷ điện Trí Nang	Sông Cáy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
20.61, 104.837499999999	Nhà máy thuỷ điện Trung Sơn	Sông Mã	Thuỷ điện	Thuỷ điện lớn	Thanh Hóa
21.9372222222222, 103.254444444444	Nhà máy thuỷ điện Trung Thu	Nậm Mức	Thuỷ điện	Thuỷ điện vừa và nhỏ	Điện Biên
20.3541666666666, 105.093055555555	Nhà máy thuỷ điện Trung Xuân	Sông Lò	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
22.36, 105.398333333333	Nhà máy thuỷ điện Tuyên Quang	Sông Gâm	Thuỷ điện	Thuỷ điện lớn	Tuyên Quang
21.6819444444444, 104.550833333333	Nhà máy thuỷ điện Văn Chấn	Ngòi Thia	Thuỷ điện	Thuỷ điện vừa và nhỏ	Yên Bái
13.9477777777777, 108.862222222222	Nhà máy thuỷ điện Văn Phong	Sông Kôn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Định
22.3036111111111, 104.453333333333	Nhà máy thuỷ điện Vĩnh Hà	Sông Chảy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
14.3655555555555, 108.694166666666	Nhà máy thuỷ điện Vĩnh Sơn	Sông Hinh	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Định
14.3611111111111, 108.720277777777	Nhà máy thuỷ điện Vĩnh Sơn 5	Sông Kôn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Định
21.3427777777777, 104.35	Nhà máy thuỷ điện Xím Vàng 2	Nậm Chim	Thuỷ điện	Thuỷ điện vừa và nhỏ	Sơn La
19.1994444444444, 104.476944444444	Nhà máy thuỷ điện Xoỏng Con	Chà Lạp	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
19.8819444444444, 105.334722222222	Nhà máy thuỷ điện Xuân Minh	Sông Chu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hoá
22.4844444444444, 104.736944444444	Nhà máy thuỷ điện Xuân Minh HG	Sông Bạc	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
12.1527777777777, 108.378611111111	Nhà máy thuỷ điện Yan Tann Sien	Đak Heur	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
21.9969444444444, 105.216111111111	Nhà máy thuỷ điện Yên Sơn	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Tuyên Quang
15.86, 107.653888888888	Nhà máy thuỷ điện Za Hưng	A Vương	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
