latlng	Column1	river	type	sub_type	province
"11.254191132536532, 107.85229838012089"	Nhà máy Điện mặt trời Đa Mi		Điện mặt trời		Bình Thuận
"10.996758757735787, 108.30436121195501"	Nhà máy Điện mặt trời Mũi Né		Điện mặt trời		Bình Thuận
"11.432858871686166, 109.0004508561383"	Nhà máy Điện gió Mũi Dinh		Điện gió		Ninh Thuận
"11.565057145126664, 108.86925836098813"	Nhà máy Điện mặt trời Phước Thái 1		Điện mặt trời		Ninh Thuận
"13.972353460053176, 107.48899531939456"	Nhà máy Điện mặt trời Sê San 4		Điện mặt trời		Kon Tum
"11.224935366584308, 108.69717871195844"	Nhà máy Điện gió Phú Lạc		Điện gió		Bình Thuận
"12.010551552075283, 109.09117016353592"	Nhà máy Điện mặt trời Điện lực miền Trung		Điện mặt trời		Khánh Hòa
"11.332062056590534, 108.79334132840631"	Nhà máy Điện mặt trời Vĩnh Tân 2		Điện mặt trời		Bình Thuận
"16.69378767728504, 107.4319158004167"	Nhà máy Điện mặt trời TTC Phong điền		Điện mặt trời		Thừa Thiên Huế
"13.225282289572432, 108.65829152242542"	Nhà máy Điện mặt trời Krong Pa		Điện mặt trời		Gia Lai
"10.913765528605042, 106.2632172003067"	Nhà máy Điện mặt trời Đức Huệ 1		Điện mặt trời		Long An
"11.044263282263477, 108.3304455690618"	Nhà máy Điện mặt trời Hồng Phong 4		Điện mặt trời		Bình Thuận
"11.404553577840648, 108.85525781750256"	Nhà máy Điện mặt trời Hacom Solar		Điện mặt trời		Ninh Thuận
"18.345667022120725, 105.90490686366824"	Nhà máy Điện gió HBRE Hà Tĩnh		Điện gió		Hà Tĩnh
"16.919019073202826, 107.15228275624548"	Nhà máy Điện mặt trời LIG Quảng Trị		Điện mặt trời		Quảng Trị
"21.329337031871965, 105.83590943206653"	Nhà máy Điện sinh khối Nedo Sóc Sơn		Điện sinh khối		Hà Nội
"11.52842947111127, 108.87401186111643"	"Nhà máy Điện mặt trời Ninh Phước 6.1, 6.2"		Điện mặt trời		Ninh Thuận
"13.377191993309829, 109.18203449812665"	"Nhà máy Điện mặt trời Xuân Thọ 1,2"		Điện mặt trời		Phú Yên
"10.550902385890486, 108.93291969476012"	Nhà máy Điện gió Phú Quý		Điện gió		Bình Thuận
"11.205242246546248, 108.33306058464156"	Nhà máy Điện mặt trời Sông Lũy 1		Điện mặt trời		Bình Thuận
"10.469789044149511, 105.018662275159"	Nhà máy Điện mặt trời Sao Mai		Điện mặt trời		An Giang
"11.54701428748397, 108.86925401935189"	Nhà máy Điện mặt trời Sinenergy Ninh Thuận 1		Điện mặt trời		Ninh Thuận
"11.225915666011668, 108.64327001934686"	Nhà máy Điện mặt trời Phong Phú		Điện mặt trời		Bình Thuận
"13.808643036822078, 107.9782449794737"	Nhà máy Điện gió HBRE Gia Lai		Điện gió		Gia Lai
16.3119444444444, 107.148611111111	Nhà máy thuỷ điện A Lin B1	A Lin	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
16.4041666666666, 107.202777777777	Nhà máy thuỷ điện A Lin B2	Rào Trăng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
16.2299999999999, 107.270277777777	Nhà máy thuỷ điện A Lưới	A Sáp	Thuỷ điện	Thuỷ điện lớn	Thừa Thiên Huế
16.1247222222222, 107.395277777777	Nhà máy thuỷ điện A Roàng	Sông Bồ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thừa Thiên Huế
15.7997222222222, 107.617222222222	Nhà máy thuỷ điện A Vương	A Vương	Thuỷ điện	Thuỷ điện lớn	Quảng Nam
15.9183333333333, 107.570555555555	Nhà máy thuỷ điện A Vương 3	A Vương	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.9025, 107.880833333333	Nhà máy thuỷ điện An Điềm	Sông Vàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
15.9327777777777, 107.903333333333	Nhà máy thuỷ điện An Điềm 2	Sông Vàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Quảng Nam
14.0147222222222, 108.679444444444	Nhà máy thuỷ điện An Khê - Kanak	Sông Ba	Thuỷ điện	Thuỷ điện lớn	Gia Lai, Bình Định
11.9980555555555, 108.359444444444	Nhà máy thuỷ điện Ankroet	Suối Vàng	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lâm Đồng
13.9286111111111, 108.231388888888	Nhà máy thuỷ điện Ayun Thượng 1A	A Yun	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
13.7763888888888, 108.166944444444	Nhà máy thuỷ điện Ayun Trung	A Yun	Thuỷ điện	Thuỷ điện vừa và nhỏ	Gia Lai
20.3194444444444, 105.173055555555	Nhà máy thuỷ điện Bá Thước 1	Sông Mã	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
20.3224999999999, 105.327777777777	Nhà máy thuỷ điện Bá Thước 2	Sông Mã	Thuỷ điện	Thuỷ điện vừa và nhỏ	Thanh Hóa
11.3711111111111, 108.328055555555	Nhà máy thuỷ điện Bắc Bình	Ma Đế	Thuỷ điện	Thuỷ điện vừa và nhỏ	Bình Thuận
22.5086111111111, 104.197222222222	Nhà máy thuỷ điện Bắc Hà (Cốc LY)	Sông Chảy	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.7575, 105.429444444444	Nhà máy thuỷ điện Bắc Mê	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Hà Giang
22.5047222222222, 104.336111111111	Nhà máy thuỷ điện Bắc Nà	Bắc Nà	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
22.5977777777777, 106.163888888888	Nhà máy thuỷ điện Bạch Đằng	Sông Hiến	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
19.2680555555555, 104.408888888888	Nhà máy thuỷ điện Bản Ang	Nậm Mộ	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
21.8611111111111, 103.828611111111	Nhà máy thuỷ điện Bản Chát	Nậm Mu	Thuỷ điện	Thuỷ điện lớn	Lai Châu
19.6052777777777, 104.858888888888	Nhà máy thuỷ điện Bản Cốc	Nậm Giải	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
22.2625, 103.974444444444	Nhà máy thuỷ điện Bản Hồ	Ngòi Bo	Thuỷ điện	Thuỷ điện vừa và nhỏ	Lào Cai
19.4527777777777, 105.299166666666	Nhà máy thuỷ điện Bản Mồng	Sông Hiếu	Thuỷ điện	Thuỷ điện vừa và nhỏ	Nghệ An
22.8588888888888, 106.699722222222	Nhà máy thuỷ điện Bản Rạ	Quây Sơn	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
19.3405555555555, 104.487222222222	Nhà máy thuỷ điện Bản Vẽ	Sông Lam	Thuỷ điện	Thuỷ điện lớn	Nghệ An
22.9611111111111, 105.775277777777	Nhà máy thuỷ điện Bảo Lạc A	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
22.9469444444444, 105.595277777777	Nhà máy thuỷ điện Bảo Lạc B	Sông Gâm	Thuỷ điện	Thuỷ điện vừa và nhỏ	Cao Bằng
