id,name,investor,total_scale_area,operating_time,start_year,price,building_density,address,address_code,ward_commune,district,city,type_ward,type_district,type_city,city_code,economic_zone,latitude,longitude
67,Khu công nghiệp VSIP Bắc Ninh,VSIP-IP-BN,635ha,2057,2007,200 USD/m2 Giá thuê chưa bao gồm VAT,60 (%),"phường Đình Bảng, xã Phù Chẩn, thành phố Từ Sơn và xã Đại Đồng, huyện Tiên Du",09355,Xã Đại Đồng,Huyện Tiên Du,Tỉnh Bắc Ninh,Xã,Huyện,Tỉnh,27,ĐỒNG BẰNG SÔNG HỒNG,,
67,, , , , , , ,"phường Đình Bảng, xã Phù Chẩn, thành phố Từ Sơn và xã Đại Đồng, huyện Tiên Du",09397,Phường Phù Chẩn,Thành phố Từ Sơn,Tỉnh Bắc Ninh,Phường,Thành phố,Tỉnh,27,ĐỒNG BẰNG SÔNG HỒNG,,
67,,,, , ,,,"phường Đình Bảng, xã Phù Chẩn, thành phố Từ Sơn và xã Đại Đồng, huyện Tiên Du",09394,Phường Đình Bảng,Thành phố Từ Sơn,Tỉnh Bắc Ninh,Phường,Thành phố,Tỉnh,27,ĐỒNG BẰNG SÔNG HỒNG,,
68,Khu công nghiệp DEEP C II Hải Phòng,DEEPC2A-IP-HP,646.1ha,2059,2009,115 USD/m2 Giá chưa bao gồm VAT,60 (%),"phường Đông Hải 2 và phường Tràng Cát, quận Hải An, thành phố Hải Phòng",11425,Phường Tràng Cát,Quận Hải An,Thành phố Hải Phòng,Phường,Quận,Thành phố,31,ĐỒNG BẰNG SÔNG HỒNG,,
68,,,, , ,,,"phường Đông Hải 2 và phường Tràng Cát, quận Hải An, thành phố Hải Phòng",11411,Phường Đông Hải 2,Quận Hải An,Thành phố Hải Phòng,Phường,Quận,Thành phố,31,ĐỒNG BẰNG SÔNG HỒNG,,
69,Khu Công nghiệp Nam Đông Hà - Quảng Trị,NAMDONGHA - IP - QT,99ha, ,2004,25 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Đông Lương, thành phố Đông Hà, tỉnh Quảng Trị",19351,Phường Đông Lương,Thành phố Đông Hà,Tỉnh Quảng Trị,Phường,Thành phố,Tỉnh,45,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,,
70,Khu công nghiệp Đình Hương - Tây Bắc Ga - Thanh Hóa,DINHHUONG-TAYBACGA-IP-TH,176.03ha, ,2010,80 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Đông Thọ, Thành phố Thanh Hóa, tỉnh Thanh Hóa",14758,Phường Đông Thọ,Thành phố Thanh Hóa,Tỉnh Thanh Hóa,Phường,Thành phố,Tỉnh,38,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,19.8274675,105.7804504
71,Khu công nghiệp Đồng Văn I,Công ty Phát triển hạ tầng các khu công nghiệp tỉnh Hà Nam,209ha,2057,2019,55 USD/m2 Chưa bao Gồm VAT,60 (%),"Phường Đồng Văn, Duy Minh, Bạch Thượng, Thị xã Duy Tiên, tỉnh Hà Nam",13336,Phường Duy Minh,Thị xã Duy Tiên,Tỉnh Hà Nam,Phường,Thị xã,Tỉnh,35,ĐỒNG BẰNG SÔNG HỒNG,,
71,,,, , ,,,"Phường Đồng Văn, Duy Minh, Bạch Thượng, Thị xã Duy Tiên, tỉnh Hà Nam",13321,Phường Đồng Văn,Thị xã Duy Tiên,Tỉnh Hà Nam,Phường,Thị xã,Tỉnh,35,ĐỒNG BẰNG SÔNG HỒNG,,
71,, , , , , , ,"Phường Đồng Văn, Duy Minh, Bạch Thượng, Thị xã Duy Tiên, tỉnh Hà Nam",13333,Phường Bạch Thượng,Thị xã Duy Tiên,Tỉnh Hà Nam,Phường,Thị xã,Tỉnh,35,ĐỒNG BẰNG SÔNG HỒNG,,
72,Khu công nghiệp Hải Yên - tỉnh Quảng Ninh,HAIYEN-IP-QN,182.42ha,2055,2005,70 USD/m2 Giá chưa bao gồm VAT,60 (%),"Phường Hải Yên, thành phố Móng Cái, tỉnh Quảng Ninh",06736,Phường Hải Yên,Thành phố Móng Cái,Tỉnh Quảng Ninh,Phường,Thành phố,Tỉnh,22,ĐỒNG BẰNG SÔNG HỒNG,21.5205427,107.91891454020904
73,Khu công nghiệp Hòa Khánh - Đà Nẵng,HOAKHANH-IP-ĐN,395.72ha,2048,1998,100 USD/m2 Giá chưa bao gồm VAT,60 (%),"Phường Hoà Khánh Bắc, Quận Liên Chiểu, Thành phố Đà Nẵng,",20197,Phường Hòa Khánh Bắc,Quận Liên Chiểu,Thành phố Đà Nẵng,Phường,Quận,Thành phố,48,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG,16.0765052,108.1488365
74,Khu công nghiệp Phú Gia - Bình Dương,PHUGIA-IP-BD,133.29ha, ,2007,30 USD/m2 Chưa bao gồm VAT,60 (%),"Phường Hòa Phú, thành phố Thủ Dầu Một, tỉnh Bình Dương",25760,Phường Hòa Phú,Thành phố Thủ Dầu Một,Tỉnh Bình Dương,Phường,Thành phố,Tỉnh,74,ĐÔNG NAM BỘ,11.065061,106.6838939
